name,address,telephone
마포소방서-서교-119 안전센터,서울특별시 마포구 양화로 60 (서교동),02-3143-2119
마포소방서,서울특별시 마포구 창전로 76(신수동),02-716-0604
마포소방서-염리-119 안전센터,서울특별시 마포구 토정로 37길 27 (염리동),02-713-0965
마포소방서-신수-119 안전센터,서울특별시 마포구 창전로 76 (신수동),02-716--9121
영등포소방서-당산-119 안전센터,서울특별시 영등포구 양평로 70-1 (당산동6가),02-2633-0119
영등포소방서-여의도-119 안전센터,서울특별시 영등포구 의사당대로 162 (여의도동),02-783-0119
영등포소방서,서울특별시 영등포구 문래로 197(영등포동4가),02-2675-0119
영등포소방서-신길-119 안전센터,서울특별시 영등포구 영등포로84길 31 (신길동),02-834-0119
영등포소방서-영등포-119 안전센터,서울특별시 영등포구 문래로 197 (영등포동4가),02-2676-0119
양천소방서-목동-119 안전센터,서울특별시 양천구 안양천로 1139 (목동),02-2249-0119
서대문소방서,서울특별시 서대문구 연희로 182(연희동),02-3144-1190
양천소방서,서울특별시 양천구 목동서로 180(목동),02-2655-1119
용산소방서,서울특별시 용산구 한강대로 167(한강로2가),02-794-0119
서대문소방서-서대문_연희-119 안전센터,서울특별시 서대문구 연희로 182 (연희동),02-336-0119
용산소방서-한강로-119 안전센터,서울특별시 용산구 한강대로 167 (한강로2가),02-793-0119
양천소방서-양천-119 안전센터,서울특별시 양천구 목동서로 180 (목동),02-2643-4119
동작소방서-상도-119 안전센터,서울특별시 동작구 국사봉1길 17 (상도동),02-821-1119
동작소방서-노량진-119 안전센터,서울특별시 동작구 노량진로 187 (노량진동),02-813-0119
마포소방서-공덕-119 안전센터,서울특별시 마포구 만리재옛길 82 (공덕동),02-3274-0976
마포소방서-마포_성산-119 안전센터,서울특별시 마포구 월드컵북로 240 (성산동),02-304-0119
동작소방서,서울특별시 동작구 여의대방로16길 55(신대방동),02-847-1190
서대문소방서-미근-119 안전센터,서울특별시 서대문구 통일로 113 (미근동),02-3147-0119
서대문소방서-북가좌-119 안전센터,서울특별시 서대문구 증가로 242 (북가좌동),02-372-0119
영등포소방서-대림-119 안전센터,서울특별시 영등포구 도림로 212 (신길동),02-846-0119
용산소방서-후암-119 안전센터,서울특별시 용산구 후암로 34 (후암동),02-754-0119
구로소방서-신도림-119 안전센터,서울특별시 구로구 경인로59길 57 (신도림동),02-2671-8119
동작소방서-동작-119 안전센터,서울특별시 동작구 여의대방로16길 55(신대방동),02-848-1088
관악소방서-관악_신림-119 안전센터,서울특별시 관악구 봉천로 202 (신림동),02-874-0119
종로소방서,서울특별시 종로구 종로1길 28(수송동),02-735-6119
강서소방서,서울특별시 강서구 양천로 550(등촌동),02-3663-0119
은평소방서-수색-119 안전센터,서울특별시 은평구 수색로 294 (수색동),02-376-0119
중부소방서_서울-회현-119 안전센터,서울특별시 중구 소공로 30 (회현동2가),02-775-0119
종로소방서-세종로-119 안전센터,서울특별시 종로구 종로1길 28 (수송동),02-734-0119
구로소방서-구로_공단-119 안전센터,서울특별시 구로구 디지털로34길 56 (구로동),02-855-0119
구로소방서-구로-119 안전센터,서울특별시 구로구 구로동로 175 (구로동),02-855-1119
양천소방서-양천_신정-119 안전센터,서울특별시 양천구 신월로 268 (신정동),02-2603-0119
강서소방서_서울-등촌-119 안전센터,서울특별시 강서구 양천로 550 (등촌동),02-3662-9119
동작소방서-동작_백운-119 안전센터,서울특별시 동작구 사당로 63 (상도동),02-817-0119
관악소방서-봉천-119 안전센터,서울특별시 관악구 은천로 54 (봉천동),02-886-0119
구로소방서,서울특별시 구로구 경인로 408(고척동),02-2618-0119
서대문소방서-홍은-119 안전센터,서울특별시 서대문구 홍은중앙로 83 (홍은동),02-379-9119
은평소방서-역촌-119 안전센터,서울특별시 은평구 갈현로 80 (역촌동),02-352-2119
은평소방서-녹번-119 안전센터,서울특별시 은평구 은평로 245 (녹번동),02-387-0119
용산소방서-서빙고-119 안전센터,서울특별시 용산구 서빙고로67길 7(서빙고동),02-795-7119
용산소방서-이태원-119 안전센터,서울특별시 용산구 이태원로 196 (이태원동),02-798-0119
중부소방서_서울-충무로-119 안전센터,서울특별시 중구 충무로 11 (충무로3가),02-2265-0119
종로소방서-종로-119 안전센터,서울특별시 종로구 돈화문로 30 (묘동),02-764-0119
종로소방서-신교-119 안전센터,서울특별시 종로구 자하문로 93 (신교동),02-736-0119
구로소방서-고척-119 안전센터,서울특별시 구로구 고척로 195 (고척동),02-2618-3104
구로소방서-고일-119 안전센터,서울특별시 구로구 경인로 408 (고척동),02-2619-0119
양천소방서-신트리-119 안전센터,서울특별시 양천구 신정로 238 (신정동),02-2691-1113
강서소방서_서울-화곡-119 안전센터,서울특별시 강서구 까치산로 49 (화곡동),02-2602-0119
관악소방서-난곡-119 안전센터,서울특별시 관악구 난곡로 243 (신림동),02-859-0119
광명소방서-광명-119 안전센터,경기도 광명시 사성로 12 (광명동),031-2610-3510
고양소방서-화전-119 안전센터,경기도 고양시 덕양구 중앙로 78,031-931-0542
관악소방서,서울특별시 관악구 관악로 97(봉천동),02-874-8119
서초소방서,서울특별시 서초구 사평대로 67(반포동),02-537-0119
중부소방서_서울-신당-119 안전센터,서울특별시 중구 다산로8길 2 (신당동),02-2238-0698
종로소방서-신영-119 안전센터,서울특별시 종로구 진흥로 477 (신영동),02-391-0119
종로소방서-연건-119 안전센터,서울특별시 종로구 대학로 91 (연건동),02-762-0119
구로소방서-독산-119 안전센터,서울특별시 금천구 시흥대로 386 (독산동),02-869-1119
양천소방서-양천_신월-119 안전센터,서울특별시 양천구 남부순환로 448 (신월동),02-2691-4119
강서소방서_서울-발산-119 안전센터,서울특별시 강서구 강서로 329 (내발산동),02-2663-0119
관악소방서-관악-119 안전센터,서울특별시 관악구 관악로 97 (봉천동),02-874-7119
서초소방서-반포-119 안전센터,서울특별시 서초구 사평대로 67 (반포동),02-534-0119
광명소방서-하안-119 안전센터,경기도 광명시 범안로 1025 (하안동),031-2610-3520
중부소방서,서울특별시 중구 퇴계로 394(무학동),02-2234-0119
성동소방서-성동_금호-119 안전센터,서울특별시 성동구 난계로 19 (금호동1가),02-2622-1771
중부소방서_서울-을지로-119 안전센터,서울특별시 중구 을지로45길 43 (신당동),02-2235-0119
중부소방서_서울-무학-119 안전센터,서울특별시 중구 퇴계로 394 (무학동),02-2252-3311
구로소방서-수궁-119 안전센터,서울특별시 구로구 오리로 1285 (궁동),02-2685-6119
서초소방서-잠원-119 안전센터,서울특별시 서초구 서초중앙로29길 6 (반포동),02-532-7119
서초소방서-방배-119 안전센터,서울특별시 서초구 남부순환로 2155 (방배동),02-582-0119
부천소방서-원종-119 안전센터,경기도 부천시 원종로79번길 41 (원종동),032-650-4554
광명소방서-광남-119 안전센터,경기도 광명시 목감로 34 (광명동),031-2610-3530
광명소방서-소하-119 안전센터,경기도 광명시 금하로 472 (소하동),031-2610-3500
은평소방서,서울특별시 은평구 통일로 962(진관동),02-355-0119
광명소방서,경기도 광명시 금하로 472,02-2610-3213
은평소방서-진관-119 안전센터,서울특별시 은평구 통일로 962(진관동),02-354-0119
성북소방서-돈암-119 안전센터,서울특별시 성북구 보문로 192 (삼선동4가),02-925-1158
